Date,Close,ti
19-12-2019,1288.800049,379
20-12-2019,1296.699951,380
23-12-2019,1302.400024,381
24-12-2019,1289.150024,382
26-12-2019,1270.449951,383
27-12-2019,1275,384
30-12-2019,1282.150024,385
31-12-2019,1272.099976,386
01-01-2020,1278.599976,387
02-01-2020,1286.75,388
03-01-2020,1268.400024,389
06-01-2020,1240.949951,390
07-01-2020,1260.599976,391
08-01-2020,1257.300049,392
09-01-2020,1271.400024,393
10-01-2020,1282.699951,394
13-01-2020,1286,395
14-01-2020,1289.5,396
15-01-2020,1284.25,397
16-01-2020,1287.650024,398
17-01-2020,1278.150024,399
20-01-2020,1254.900024,400
21-01-2020,1244.349976,401
22-01-2020,1240.849976,402
23-01-2020,1244.849976,403
24-01-2020,1244.550049,404
27-01-2020,1213.199951,405
28-01-2020,1223.199951,406
29-01-2020,1235.849976,407
30-01-2020,1226.050049,408
31-01-2020,1226.300049,409
03-02-2020,1192.800049,410
04-02-2020,1229.800049,411
05-02-2020,1244.650024,412
06-02-2020,1239.800049,413
07-02-2020,1242.199951,414
10-02-2020,1240.300049,415
11-02-2020,1240.599976,416
12-02-2020,1249,417
13-02-2020,1241.400024,418
14-02-2020,1219.349976,419
17-02-2020,1217.150024,420
18-02-2020,1213.25,421
19-02-2020,1227.199951,422
20-02-2020,1217.099976,423
24-02-2020,1209.949951,424
25-02-2020,1200.300049,425
26-02-2020,1199.25,426
27-02-2020,1199.449951,427
28-02-2020,1177.650024,428
02-03-2020,1179.599976,429
03-03-2020,1181.800049,430
04-03-2020,1148.849976,431
05-03-2020,1151.349976,432
06-03-2020,1134.900024,433
09-03-2020,1107.300049,434
11-03-2020,1113.800049,435
12-03-2020,1021.299988,436
13-03-2020,1069.800049,437
16-03-2020,999.5,438
17-03-2020,975.099976,439
18-03-2020,876.900024,440
19-03-2020,895.549988,441
20-03-2020,882.849976,442
23-03-2020,771.549988,443
24-03-2020,767.700012,444
25-03-2020,856.75,445
26-03-2020,901.099976,446
27-03-2020,904.450012,447
30-03-2020,831.650024,448
31-03-2020,861.900024,449
01-04-2020,829.650024,450
03-04-2020,813.849976,451
07-04-2020,896.099976,452
08-04-2020,888.900024,453
09-04-2020,925.049988,454
13-04-2020,895.349976,455
15-04-2020,863.299988,456
16-04-2020,879.75,457
17-04-2020,910.299988,458
20-04-2020,944.849976,459
21-04-2020,921.650024,460
22-04-2020,928.599976,461
23-04-2020,954.950012,462
24-04-2020,938.049988,463
27-04-2020,929.700012,464
28-04-2020,931.400024,465
29-04-2020,977.099976,466
30-04-2020,1001.799988,467
04-05-2020,923,468
05-05-2020,911.450012,469
06-05-2020,946.400024,470
07-05-2020,925,471
08-05-2020,929.049988,472
11-05-2020,915.799988,473
12-05-2020,901.549988,474
13-05-2020,927.650024,475
14-05-2020,893.700012,476
15-05-2020,888.150024,477
18-05-2020,836.650024,478
19-05-2020,830.650024,479
20-05-2020,857.099976,480
21-05-2020,859.549988,481
22-05-2020,838.849976,482
26-05-2020,852.400024,483
27-05-2020,903.650024,484
28-05-2020,945.25,485
29-05-2020,951.650024,486
01-06-2020,987.650024,487
02-06-2020,1001,488
03-06-2020,1022.25,489
04-06-2020,1001.700012,490
